school,age,guardian,traveltime,studytime,failures,internet,absences,G1,G2,G3
GP,16,mother,2,3,0,yes,4,13,12,13
GP,15,father,2,3,0,yes,0,10,11,12
GP,18,mother,1,2,3,yes,10,10,9,8
GP,17,mother,3,1,0,yes,8,11,10,11
GP,15,mother,3,1,0,yes,6,11,12,13
GP,17,father,1,1,0,yes,2,13,12,12
GP,16,father,1,1,0,yes,12,15,13,14
GP,16,mother,4,1,0,no,4,9,9,11
GP,16,mother,1,1,1,no,12,13,11,11
GP,15,mother,4,2,0,no,2,12,11,11
GP,15,mother,1,3,0,yes,4,13,14,15
GP,17,mother,3,2,0,no,2,10,9,10
GP,16,mother,4,2,0,no,0,14,13,13
GP,18,mother,2,1,0,yes,2,11,11,12
GP,18,other,1,3,0,yes,10,12,11,11
GP,16,mother,2,1,0,no,8,12,11,11
GP,16,other,2,1,0,yes,4,9,9,10
GP,16,mother,1,2,2,no,0,10,10,10
GP,15,mother,2,1,0,yes,6,13,14,14
GP,15,mother,3,1,1,yes,2,8,9,9
GP,15,father,2,4,0,yes,6,9,11,11
GP,15,mother,1,2,0,no,24,9,8,9
GP,16,mother,1,3,0,yes,0,15,13,13
GP,16,father,2,1,0,yes,4,12,11,11
GP,15,mother,1,3,0,yes,2,13,13,13
GP,16,mother,1,1,0,yes,4,10,11,11
GP,17,mother,1,1,0,yes,22,9,7,6
GP,15,father,1,2,0,yes,0,12,12,12
GP,15,mother,2,1,0,yes,0,11,10,10
GP,15,father,1,2,1,yes,2,11,11,11
GP,15,mother,1,2,0,yes,6,13,12,13
GP,15,father,1,2,0,no,6,11,11,11
GP,16,mother,1,1,0,yes,16,9,9,8
GP,15,mother,4,1,0,yes,0,12,11,11
GP,18,mother,1,1,2,yes,0,11,9,0
GP,16,mother,1,1,1,no,6,9,10,10
GP,15,other,2,3,0,yes,2,13,13,13
GP,19,mother,1,1,0,yes,6,11,9,11
GP,17,mother,1,1,0,no,0,13,13,13
GP,15,mother,1,2,0,no,0,7,8,8
GP,17,mother,1,1,3,no,14,9,8,10
GP,18,mother,3,1,3,no,6,11,10,11
GP,16,mother,3,1,0,no,4,12,10,11
GP,16,father,1,2,1,yes,0,10,10,1
GP,16,mother,2,1,2,yes,0,9,8,10
GP,17,mother,2,1,1,yes,8,8,8,9
GP,17,mother,2,2,2,yes,4,7,6,8
GP,15,mother,2,1,0,no,2,8,9,10
GP,16,father,1,1,1,yes,2,9,8,8
GP,17,mother,4,2,0,no,0,8,8,8
GP,17,mother,2,1,3,no,10,8,7,8
GP,16,father,1,2,0,yes,0,9,10,11
GP,16,father,1,2,0,yes,0,17,17,18
GP,16,mother,1,2,0,yes,0,12,12,13
GP,16,mother,1,2,0,yes,0,16,16,17
GP,16,father,3,1,1,yes,4,9,9,10
GP,16,mother,2,2,0,yes,0,16,17,18
GP,17,mother,1,2,0,yes,0,11,9,10
GP,16,mother,1,2,0,yes,0,14,13,13
GP,16,mother,2,2,0,yes,0,14,14,15
GP,17,mother,2,2,0,yes,0,10,11,11
GP,16,mother,2,2,0,yes,0,13,12,14
GP,17,father,1,2,0,yes,4,11,9,10
GP,16,mother,1,1,0,yes,8,10,9,11
GP,17,mother,1,2,0,yes,4,11,11,13
GP,16,mother,1,2,0,yes,4,11,10,11
GP,16,mother,1,2,0,yes,0,11,12,13
GP,17,father,1,2,0,no,0,17,18,17
GP,17,mother,1,2,0,yes,32,14,13,14
GP,16,mother,1,2,0,yes,8,14,15,16
GP,17,mother,1,2,0,yes,6,11,13,14
GP,16,mother,1,1,0,yes,0,10,9,11
GP,16,mother,1,2,0,yes,0,13,14,16
GP,17,mother,1,2,0,yes,10,12,13,14
GP,17,mother,1,2,0,no,6,9,9,10
GP,16,mother,1,2,0,yes,6,12,12,13
GP,17,mother,1,2,0,yes,0,12,11,12
GP,17,other,2,2,0,yes,16,10,11,12
GP,16,mother,1,1,0,yes,0,11,10,10
GP,16,father,2,1,0,yes,0,13,12,12
GP,17,father,1,2,0,yes,8,14,15,16
GP,17,mother,1,1,0,yes,4,13,13,14
GP,16,father,3,1,0,yes,16,10,11,12
GP,17,mother,2,1,1,yes,30,14,15,16
GP,16,mother,1,2,0,yes,0,11,10,11
GP,16,mother,1,2,0,yes,2,14,14,15
GP,16,mother,1,2,0,no,4,11,12,12
GP,17,mother,1,2,0,no,0,14,15,15
GP,17,mother,1,1,0,yes,21,13,13,13
GP,16,mother,2,4,0,yes,6,13,13,13
GP,17,mother,1,3,1,yes,14,8,9,8
GP,16,mother,1,2,0,yes,2,11,11,12
GP,16,mother,1,2,0,yes,4,14,15,15
GP,16,mother,2,1,0,no,2,12,13,13
GP,17,mother,2,3,0,yes,0,11,12,12
GP,19,other,1,4,0,yes,4,12,12,12
GP,17,mother,1,2,0,yes,15,13,12,12
GP,16,mother,1,2,0,yes,0,13,13,13
GP,18,mother,1,2,0,yes,10,12,11,11
GP,17,mother,1,1,0,no,6,12,11,11
GP,17,mother,2,2,0,yes,2,14,16,15
GP,17,mother,1,2,0,yes,16,11,9,10
GP,18,father,1,2,0,yes,10,10,10,10
GP,17,father,2,1,0,no,4,12,13,13
GP,17,mother,1,3,0,yes,0,12,12,13
GP,17,mother,2,2,0,yes,0,11,10,11
GP,17,mother,1,3,0,no,12,12,12,12
GP,16,mother,1,2,0,yes,0,13,13,14
GP,18,mother,2,2,3,yes,9,10,9,10
GP,16,mother,1,3,0,yes,4,15,16,16
GP,18,mother,1,2,0,yes,4,8,8,8
GP,17,mother,1,2,0,yes,2,17,18,17
GP,17,father,1,2,0,yes,0,10,11,11
GP,18,mother,4,2,0,yes,2,9,10,11
GP,17,mother,2,3,0,yes,0,15,15,16
GP,17,father,1,2,0,yes,0,14,12,12
GP,17,father,2,2,0,yes,0,12,13,13
GP,17,mother,1,2,0,yes,0,13,13,13
GP,16,father,1,2,0,yes,0,13,13,14
GP,16,mother,2,2,0,yes,2,9,9,9
GP,16,mother,2,3,0,yes,0,12,12,12
GP,17,father,1,2,0,yes,0,16,16,16
GP,16,mother,1,1,0,yes,4,9,10,10
GP,16,mother,1,2,0,yes,0,14,13,13
GP,18,mother,2,2,1,yes,18,10,10,10
GP,18,mother,1,2,1,yes,16,9,8,10
GP,18,mother,2,1,1,yes,14,8,7,7
GP,18,other,1,1,1,yes,26,7,8,8
GP,17,mother,1,1,0,yes,6,10,8,9
GP,17,father,1,2,0,no,4,14,14,15
GP,17,mother,1,3,0,yes,10,11,10,10
GP,16,mother,1,1,0,yes,4,12,11,11
GP,17,mother,3,2,0,no,2,13,13,13
GP,17,other,4,1,1,yes,14,9,9,8
GP,18,father,1,2,0,yes,16,8,7,8
GP,17,mother,1,1,1,yes,8,11,9,10
GP,17,mother,2,3,0,yes,4,15,14,15
GP,17,mother,1,2,0,no,4,15,14,14
GP,17,mother,2,2,0,yes,8,15,15,15
GP,17,mother,2,2,0,yes,0,12,12,12
GP,16,mother,1,1,0,yes,7,14,14,15
GP,16,mother,1,1,0,yes,4,14,15,15
GP,17,mother,1,2,0,yes,2,11,11,12
GP,17,father,2,3,0,yes,2,13,14,15
GP,17,mother,2,3,0,yes,10,11,11,11
GP,17,mother,1,2,0,no,10,10,9,10
GP,18,other,2,3,0,yes,10,12,10,11
GP,16,mother,3,1,0,yes,7,15,16,16
GP,17,father,1,2,0,no,4,11,10,11
GP,17,father,2,1,0,yes,2,9,12,13
GP,22,mother,1,1,3,yes,12,7,8,5
GP,18,mother,1,2,0,yes,8,10,9,10
GP,16,mother,1,1,0,yes,0,11,12,11
GP,18,mother,2,1,0,yes,8,7,8,7
GP,16,other,3,2,1,yes,4,9,11,10
GP,18,mother,1,1,2,yes,4,7,8,6
GP,16,mother,2,1,0,no,2,14,13,12
GP,17,mother,1,1,0,yes,0,12,12,13
GP,17,mother,2,1,1,yes,0,9,10,10
GP,18,mother,1,2,0,yes,2,12,12,13
GP,17,mother,1,4,0,yes,2,14,15,17
GP,19,mother,1,2,0,yes,0,10,10,11
GP,18,mother,3,2,1,yes,4,11,10,11
GP,17,mother,1,3,0,yes,2,11,12,14
GP,18,mother,1,3,0,no,4,11,12,14
GP,18,mother,1,2,0,no,4,11,11,13
GP,19,mother,1,2,0,yes,4,11,13,14
GP,18,mother,1,2,0,yes,2,16,16,16
GP,17,mother,2,1,0,no,0,9,10,10
GP,17,father,1,4,0,yes,2,10,11,12
GP,20,other,2,2,0,yes,8,10,12,12
GP,18,father,1,2,0,yes,2,15,15,15
GP,18,mother,1,2,0,yes,2,10,10,11
GP,18,mother,1,3,0,no,2,10,11,12
GP,17,mother,1,3,0,no,2,15,12,13
GP,18,mother,1,3,0,yes,0,11,12,13
GP,17,father,2,1,0,yes,8,8,8,9
GP,18,mother,2,2,0,yes,6,15,16,16
GP,17,mother,1,2,0,yes,0,11,11,14
GP,18,mother,2,2,0,yes,8,10,11,12
GP,18,father,1,2,0,yes,4,10,12,14
GP,18,mother,2,2,0,yes,12,8,9,10
GP,19,other,1,2,0,yes,16,11,12,12
GP,18,father,1,4,0,yes,10,16,16,16
GP,18,mother,2,2,0,no,2,13,13,13
GP,17,mother,1,2,0,no,2,16,17,18
GP,18,mother,1,2,0,yes,8,14,14,15
GP,17,mother,2,2,0,yes,6,15,16,16
GP,17,mother,2,2,0,yes,6,12,12,12
GP,18,mother,2,2,0,yes,15,12,9,10
GP,18,mother,2,1,0,yes,6,11,12,12
GP,18,father,1,2,1,yes,2,14,12,13
GP,17,father,3,3,0,yes,8,13,15,15
GP,19,father,1,2,1,yes,0,9,8,10
GP,18,mother,2,1,0,yes,0,10,10,10
GP,18,other,2,1,0,yes,10,10,10,11
GP,17,mother,2,1,0,yes,22,11,11,10
GP,17,mother,1,1,0,yes,18,13,13,13
GP,18,mother,2,4,0,no,2,17,17,18
GP,18,mother,2,2,0,yes,0,12,13,13
GP,17,mother,1,2,0,yes,12,12,12,14
GP,18,mother,2,2,0,yes,10,12,13,14
GP,17,father,1,2,0,yes,0,12,12,12
GP,18,mother,1,3,0,yes,0,18,18,18
GP,17,mother,1,3,0,yes,0,13,13,14
GP,18,mother,1,3,0,yes,0,14,15,15
GP,18,mother,1,2,0,yes,0,17,17,17
GP,18,mother,1,2,0,yes,2,15,16,16
GP,17,mother,1,3,0,yes,0,17,18,18
GP,17,mother,2,4,0,no,0,18,19,19
GP,18,mother,2,3,0,yes,0,14,15,15
GP,17,mother,1,1,0,yes,0,14,15,15
GP,19,other,2,2,0,yes,2,14,13,13
GP,18,other,2,2,0,yes,0,13,14,14
GP,18,father,1,4,0,yes,0,16,17,17
GP,18,mother,1,1,0,yes,0,18,18,17
GP,18,mother,1,2,0,yes,0,14,15,15
GP,17,father,2,1,0,yes,0,12,13,13
GP,17,mother,2,3,0,yes,0,7,7,8
GP,17,mother,2,3,0,yes,0,16,16,16
GP,17,father,1,4,0,yes,0,18,18,18
GP,19,mother,2,3,1,yes,0,9,10,11
GP,20,other,1,1,2,no,0,14,15,15
GP,19,father,1,2,0,no,0,10,10,11
GP,18,mother,1,2,0,no,2,10,10,11
GP,18,mother,2,2,0,yes,2,12,12,15
GP,17,father,2,2,0,yes,2,11,12,14
GP,17,mother,1,1,0,yes,2,15,16,17
GP,18,mother,1,3,0,yes,2,14,15,17
GP,18,mother,2,1,0,yes,8,12,12,15
GP,17,father,1,3,0,yes,2,15,15,17
GP,18,father,1,2,0,yes,8,11,12,14
GP,19,mother,2,2,0,yes,9,11,10,10
GP,18,mother,1,2,0,yes,0,12,11,13
GP,18,mother,1,1,0,yes,4,11,12,14
GP,17,mother,1,1,0,yes,2,14,15,17
GP,17,mother,1,2,0,yes,14,15,14,17
GP,17,mother,1,2,0,yes,0,12,12,13
GP,17,father,1,2,0,yes,2,11,12,14
GP,18,father,1,1,0,yes,2,8,9,11
GP,19,other,3,3,0,no,12,10,10,11
GP,19,other,3,2,2,yes,2,8,8,9
GP,18,mother,1,1,0,yes,2,10,10,10
GP,17,mother,1,2,0,no,4,14,13,13
GP,17,mother,1,3,0,yes,0,11,11,10
GP,17,father,1,3,0,yes,0,17,18,17
GP,17,father,2,3,0,yes,0,14,14,15
GP,18,mother,2,3,0,yes,0,14,14,14
GP,18,mother,1,3,0,yes,0,13,14,13
GP,17,mother,1,1,0,yes,0,17,18,17
GP,17,mother,4,1,0,yes,2,11,10,10
GP,17,mother,1,3,0,yes,0,13,12,13
GP,17,mother,2,3,0,yes,4,15,14,15
GP,17,mother,1,1,0,yes,2,11,12,11
GP,18,mother,1,4,0,yes,0,11,11,12
GP,19,other,1,1,0,no,0,11,10,10
GP,18,mother,4,2,0,no,2,10,9,10
GP,17,father,1,3,0,yes,0,15,15,15
GP,18,mother,1,1,0,yes,6,15,14,15
GP,18,mother,1,2,0,yes,8,10,11,12
GP,18,other,1,2,0,yes,0,10,9,12
GP,18,mother,2,4,0,no,6,14,13,14
GP,17,mother,1,3,0,yes,8,11,13,14
GP,17,mother,1,2,0,yes,0,12,13,15
GP,18,mother,1,4,0,yes,4,14,14,15
GP,17,mother,1,2,0,yes,0,14,14,16
GP,18,father,1,2,0,yes,0,12,12,13
GP,18,mother,1,2,0,yes,6,16,16,17
GP,17,father,1,2,0,yes,18,10,12,14
GP,18,mother,1,3,0,yes,0,11,12,14
GP,18,mother,1,3,0,yes,4,14,16,17
GP,18,mother,1,3,0,yes,4,15,14,17
GP,18,mother,1,3,0,yes,0,14,13,14
GP,17,mother,1,3,0,yes,0,11,12,13
GP,17,mother,2,2,0,yes,10,12,15,15
GP,17,mother,1,2,0,yes,4,12,16,16
GP,19,other,2,1,1,yes,16,10,11,11
GP,17,mother,1,1,1,yes,6,10,13,13
GP,21,other,1,3,2,yes,0,9,12,12
GP,18,mother,1,2,0,yes,11,9,11,12
GP,18,other,1,2,0,yes,9,13,14,15
GP,17,mother,1,2,0,yes,0,13,17,17
GP,17,mother,1,3,0,yes,2,12,15,15
GP,18,mother,1,2,0,yes,0,14,17,17
GP,21,other,2,2,2,yes,21,9,10,10
GP,20,other,2,3,0,yes,8,11,15,15
GP,19,other,1,1,1,yes,5,9,10,11
GP,17,mother,1,2,0,yes,10,16,18,18
GP,18,father,1,3,0,yes,5,14,17,17
GP,18,father,1,1,0,yes,13,13,14,14
GP,19,mother,1,1,0,yes,10,7,11,11
GP,18,mother,2,2,0,yes,10,14,17,17
GP,20,mother,2,1,1,yes,5,8,10,10
GP,18,mother,1,2,0,yes,4,10,13,13
MS,16,father,2,1,0,yes,11,10,11,11
MS,16,mother,2,2,0,yes,0,12,12,12
MS,15,mother,1,1,1,no,6,10,10,10
MS,15,mother,2,1,0,yes,4,10,10,11
MS,16,mother,2,2,0,no,0,16,17,17
MS,15,mother,2,1,0,no,0,6,8,9
MS,16,mother,1,2,0,no,5,10,11,11
MS,16,mother,1,3,0,yes,0,10,11,11
MS,17,father,1,2,1,no,0,10,10,10
MS,17,father,1,1,1,yes,0,6,6,7
MS,15,mother,2,1,0,yes,0,13,14,14
MS,16,mother,2,4,0,no,4,10,9,11
MS,15,father,2,2,0,yes,0,10,10,10
MS,15,mother,2,1,1,yes,4,6,7,8
MS,16,mother,2,1,0,no,0,12,11,12
MS,17,mother,2,1,0,yes,2,10,11,12
MS,15,father,2,1,0,yes,0,14,16,16
MS,16,mother,2,2,0,no,0,7,0,0
MS,17,mother,1,2,0,yes,4,8,9,9
MS,15,father,1,2,0,yes,0,12,13,14
MS,15,father,1,2,0,yes,7,7,9,8
MS,16,mother,3,2,0,no,4,9,10,11
MS,15,mother,4,2,0,no,8,7,9,9
MS,15,father,1,2,0,yes,0,11,11,11
MS,17,mother,3,1,0,no,8,8,10,9
MS,16,mother,2,3,0,yes,6,16,16,17
MS,15,mother,2,1,0,no,3,11,13,13
MS,16,mother,3,2,0,yes,2,15,15,15
MS,16,father,2,2,0,no,0,10,11,11
MS,16,mother,3,2,0,yes,4,9,10,11
MS,16,mother,1,3,1,no,0,10,8,8
MS,16,mother,1,3,1,no,3,9,8,8
MS,15,mother,1,2,0,yes,0,9,10,9
MS,16,father,1,2,0,no,0,13,14,15
MS,17,mother,1,1,0,yes,4,10,11,11
MS,16,father,4,4,0,yes,0,13,10,13
MS,16,father,4,3,0,no,2,10,9,10
MS,15,father,2,2,0,yes,1,11,10,11
MS,16,mother,2,1,0,yes,0,13,12,14
MS,15,father,3,2,0,no,0,13,14,14
MS,15,father,1,3,0,no,2,14,11,12
MS,16,father,2,1,0,no,6,11,11,11
MS,18,father,1,2,1,yes,9,9,8,8
MS,15,mother,2,1,0,no,0,10,9,11
MS,16,father,3,2,0,yes,1,14,13,14
MS,15,mother,3,1,0,no,1,13,12,13
MS,16,father,1,2,0,no,0,13,12,13
MS,15,mother,1,2,0,yes,4,13,12,12
MS,16,mother,2,2,1,no,2,12,11,12
MS,16,father,3,1,0,no,0,14,14,16
MS,16,mother,2,1,0,yes,4,10,8,10
MS,15,father,3,1,0,yes,2,10,11,11
MS,15,mother,2,3,0,no,0,12,13,14
MS,16,mother,1,1,0,yes,2,10,8,8
MS,15,father,2,1,0,yes,11,12,10,11
MS,16,father,2,2,3,no,0,7,7,8
MS,17,mother,1,1,0,no,4,9,9,10
MS,19,other,1,1,1,yes,0,9,9,10
MS,17,mother,3,1,0,no,2,9,10,11
MS,15,mother,2,1,0,no,0,9,10,9
MS,16,father,3,2,0,yes,1,9,10,11
MS,16,mother,1,1,0,no,6,7,7,8
MS,17,mother,2,2,0,yes,0,11,10,11
MS,16,father,1,1,1,yes,1,9,10,10
MS,18,other,2,3,2,no,6,7,9,10
MS,19,mother,1,3,1,no,6,7,9,9
MS,18,mother,2,1,1,yes,0,8,9,10
MS,18,mother,2,1,1,yes,4,9,11,10
MS,19,other,2,2,1,yes,12,7,8,9
MS,16,mother,1,2,0,no,2,8,10,10
MS,17,father,2,1,0,no,5,9,9,10
MS,16,mother,1,2,0,yes,0,8,9,9
MS,16,mother,1,1,0,yes,0,14,13,13
MS,16,mother,1,1,0,yes,2,14,14,14
MS,17,mother,2,4,1,no,0,10,11,10
MS,16,mother,1,2,0,yes,0,14,13,14
MS,16,mother,1,1,0,no,0,17,16,16
MS,17,father,1,1,1,yes,12,6,7,7
MS,16,father,1,1,0,yes,8,14,12,13
MS,17,mother,3,4,1,no,2,10,8,9
MS,16,other,1,4,0,yes,0,14,14,14
MS,19,mother,1,3,0,yes,0,12,13,13
MS,17,mother,2,1,0,yes,0,11,11,11
MS,20,mother,2,2,1,yes,8,11,9,10
MS,17,father,1,3,0,no,0,11,11,10
MS,17,mother,3,1,1,yes,0,10,9,9
MS,16,father,3,2,0,no,0,16,17,18
MS,17,mother,2,2,0,no,0,15,17,17
MS,17,mother,2,2,0,yes,1,11,9,10
MS,18,mother,1,2,1,yes,9,7,7,7
MS,16,mother,1,1,0,yes,0,8,6,8
MS,16,mother,1,1,0,yes,2,7,6,7
MS,18,mother,2,2,0,no,8,9,8,10
MS,16,father,1,2,0,yes,0,14,16,16
MS,16,mother,2,1,0,yes,0,14,14,15
MS,18,father,1,2,1,yes,8,8,5,8
MS,16,mother,2,2,0,yes,0,8,7,0
MS,16,mother,3,2,0,yes,6,6,8,8
MS,16,mother,2,2,0,yes,0,8,10,10
MS,16,mother,1,2,0,yes,4,8,8,8
MS,18,mother,1,4,0,yes,2,5,6,6
MS,16,mother,3,2,0,no,2,7,9,8
MS,17,mother,1,3,0,yes,0,15,14,16
MS,17,mother,1,1,0,yes,1,13,14,14
MS,16,mother,4,3,0,no,0,10,9,10
MS,17,mother,1,1,0,yes,5,9,9,9
MS,16,father,2,1,0,no,1,11,11,11
MS,17,mother,1,1,0,yes,8,7,10,9
MS,17,mother,3,2,0,yes,0,10,10,10
MS,16,mother,2,2,0,yes,2,9,7,8
MS,16,mother,1,2,0,yes,0,14,15,16
MS,16,father,1,1,0,yes,0,11,12,12
MS,15,mother,3,2,0,no,11,9,11,10
MS,15,mother,3,4,0,no,8,13,14,14
MS,15,mother,1,1,0,yes,11,12,13,12
MS,16,mother,1,3,0,no,2,11,11,11
MS,16,mother,2,2,0,yes,8,9,10,10
MS,17,mother,2,1,0,no,5,9,11,11
MS,17,mother,2,2,0,no,0,11,9,11
MS,16,mother,2,3,0,yes,1,10,11,12
MS,17,father,3,1,3,yes,2,9,9,8
MS,17,father,2,1,0,no,2,12,11,12
MS,17,mother,1,2,1,yes,8,8,9,8
MS,17,father,1,2,0,yes,0,13,15,16
MS,16,father,1,1,0,yes,0,10,11,11
MS,17,mother,1,2,0,yes,2,11,10,11
MS,17,mother,2,2,0,yes,0,17,18,18
MS,16,father,2,2,0,yes,0,12,13,13
MS,17,father,2,2,0,yes,0,13,14,13
MS,19,mother,1,2,2,yes,2,9,9,10
MS,17,mother,1,1,0,no,4,11,11,12
MS,17,father,2,1,0,yes,3,10,11,10
MS,16,father,1,3,0,yes,5,13,14,13
MS,16,mother,1,1,0,no,4,9,10,11
MS,17,mother,2,2,3,yes,2,7,9,10
MS,17,mother,2,1,0,no,0,8,13,10
MS,18,other,3,1,1,no,0,12,12,13
MS,17,mother,2,1,0,yes,0,10,9,10
MS,18,mother,2,2,0,no,6,10,9,10
MS,16,father,1,2,0,no,0,11,13,12
MS,17,mother,1,1,1,no,0,7,0,0
MS,16,father,2,1,0,yes,2,11,9,10
MS,16,mother,2,1,0,yes,0,10,10,9
MS,18,other,2,1,1,yes,2,9,7,9
MS,18,mother,1,1,1,yes,0,4,0,0
MS,19,mother,2,1,3,no,4,6,11,9
